Negative,@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.
Positive,Reading my kindle2...  Love it... Lee childs is good read.
Negative,Ok, first assesment of the #kindle2 ...it fucking rocks!!!
Positive,@kenburbary You'll love your Kindle2. I've had mine for a few months and never looked back. The new big one is huge! No need for remorse! :)
Positive,@mikefish  Fair enough. But i have the Kindle2 and I think it's perfect  :)
Positive,@richardebaker no. it is too big. I'm quite happy with the Kindle2.
Negative,Fuck this economy. I hate aig and their non loan given asses.
Positive,Jquery is my new best friend.
Positive,Loves twitter
Positive,how can you not love Obama? he makes jokes about himself.
Neutral,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM
Negative,@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism
Neutral,House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation
Positive,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!
Negative,dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x
Negative,#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2
Negative,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.
Positive,i love lebron. http://bit.ly/PdHur
Negative,@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.
Neutral,@Pmillzz lebron IS THE BOSS
Positive,@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol
Positive,lebron and zydrunas are such an awesome duo
Neutral,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.
Positive,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.
Negative,good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!
Positive,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson)
Neutral,In montreal for a long weekend of R&amp;R. Much needed.
Negative,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv
Neutral,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP
Positive,@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.
Positive,need suggestions for a good IR filter for my canon 40D ... got some? pls DM
Positive,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv
Positive,@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.
Negative,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.
Neutral,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders
Positive,omg so bored &amp; my tattoooos are so itchy!!  help! aha =)
Neutral,I'm itchy and miserable!
Negative,@sekseemess no. I'm not itchy for now. Maybe later, lol.
Positive,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR
Positive,@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.
Positive,I'm listening to "P.Y.T" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)
Positive,is going to sleep then on a bike ride:]
Negative,cant sleep... my tooth is aching.
Neutral,Blah, blah, blah same old same old. No plans today, going back to sleep I guess.
Positive,glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf
Neutral,is in San Francisco at Bay to Breakers.
Neutral,just landed at San Francisco
Neutral,San Francisco today.  Any suggestions?
Neutral,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg
Negative,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?
Negative,ShaunWoo hate'n on AiG
Positive,@YarnThing you will not regret going to see Star Trek. It was AWESOME!
Positive,On my way to see Star Trek @ The Esquire.
Neutral,Going to see star trek soon with my dad.
Neutral,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.
Neutral,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50
